dep,title,gen,tenure,setting,nps.cat,variable,value
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,p15,10
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,p15,0
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,p15,0
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,p15,0
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,p15,0
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,p15,0
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,p15,0
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,p15,5
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,p15,0
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,p15,0
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,p15,0
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,p15,20
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,p15,0
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,p15,0
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,p15,0
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,p15,0
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,p15,0
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,p15,0
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,p15,0
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,p15,0
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,p15,0
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,p15,0
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,p15,10
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,p15,0
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,p15,0
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,p15,0
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,p15,10
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,p15,5
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,p15,0
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,p15,0
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,p15,5
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,p15,0
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,p15,0
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,p15,25
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,p15,0
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,p15,20
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,p15,0
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,p15,5
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,p15,0
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,p15,0
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,p15,0
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,p15,0
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,p15,0
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,p15,0
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,p15,0
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,p15,0
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,p15,0
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,p15,0
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,p15,0
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,p15,0
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,p15,25
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,p15,0
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,p15,5
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,p15,0
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,p15,0
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,virtual,50
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,virtual,80
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,virtual,85
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,virtual,75
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,virtual,0
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,0
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,100
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,virtual,0
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,virtual,10
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,30
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,0
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,virtual,20
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,virtual,25
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,virtual,25
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,100
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,virtual,95
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,virtual,50
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,virtual,75
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,virtual,100
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,25
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,virtual,50
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,virtual,75
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,10
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,virtual,30
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,75
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,virtual,50
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,80
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,virtual,25
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,30
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,virtual,5
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,virtual,99
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,virtual,35
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,85
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,virtual,0
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,virtual,30
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,35
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,60
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,virtual,50
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,50
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,virtual,50
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,virtual,75
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,virtual,50
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,virtual,100
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,10
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,virtual,10
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,virtual,20
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,virtual,100
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,virtual,6
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,virtual,90
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,virtual,60
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,50
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,40
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,virtual,75
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,10
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,20
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,5
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,virtual,0
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,80
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,10
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,virtual,10
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,virtual,50
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,virtual,40
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,80
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,virtual,25
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,virtual,75
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,virtual,60
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,virtual,10
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,75
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,virtual,100
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,virtual,90
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,virtual,90
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,virtual,100
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,virtual,20
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,50
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,virtual,90
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,25
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,70
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,virtual,95
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,30
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,virtual,20
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,virtual,75
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,virtual,30
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,95
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,virtual,40
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,60
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,virtual,60
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,virtual,80
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,virtual,80
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,virtual,0
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,60
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,50
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,virtual,33
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,virtual,50
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,virtual,20
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,virtual,65
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,virtual,100
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,virtual,0
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,95
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,virtual,2
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,virtual,100
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,virtual,50
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,virtual,40
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,virtual,90
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,virtual,10
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,virtual,33
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,virtual,40
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,virtual,10
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,virtual,100
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,virtual,10
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,virtual,75
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,virtual,90
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,virtual,80
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,virtual,25
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,virtual,30
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,virtual,90
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,virtual,75
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,70
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,virtual,0
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,virtual,60
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,virtual,10
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,virtual,25
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,virtual,5
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,virtual,80
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,virtual,20
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,virtual,60
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,choosevirtual,Frequently
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,choosevirtual,Rarely
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Never
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Rarely
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,choosevirtual,Never
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,choosevirtual,Never
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,choosevirtual,Never
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,choosevirtual,Frequently
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Never
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Frequently
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,choosevirtual,Rarely
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,choosevirtual,Occasionally
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,choosevirtual,Occasionally
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,choosevirtual,Occasionally
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,choosevirtual,Rarely
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Rarely
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,choosevirtual,Never
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Frequently
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,choosevirtual,Occasionally
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,choosevirtual,Frequently
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,choosevirtual,Occasionally
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,choosevirtual,Never
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,choosevirtual,Occasionally
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,choosevirtual,Never
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,choosevirtual,Occasionally
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,choosevirtual,Rarely
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Rarely
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,choosevirtual,Occasionally
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,choosevirtual,Occasionally
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,choosevirtual,Occasionally
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,choosevirtual,Occasionally
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,choosevirtual,Occasionally
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,choosevirtual,Occasionally
