dep,title,gen,tenure,setting,nps.cat,variable,value
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,ind,65
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,ind,80
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,ind,20
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,ind,80
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,ind,40
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,ind,90
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,ind,40
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,ind,60
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,ind,20
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,ind,40
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,ind,50
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,ind,95
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,ind,60
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,ind,70
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,ind,80
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,30
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,ind,60
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,65
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,70
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,ind,70
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,ind,90
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,ind,80
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,60
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,ind,60
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,ind,60
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,ind,60
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,ind,90
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,ind,75
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,ind,80
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,ind,70
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,ind,40
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,ind,65
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,ind,60
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,ind,90
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,ind,80
