"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"inpformal","3"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"inpformal","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"inpformal","4  (Very Effective)"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"inpformal","4  (Very Effective)"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"inpformal","3"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"inpformal","2"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"inpformal","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"inpformal","3"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"inpformal","3"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"inpformal","2"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"inpformal","3"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"inpformal","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"inpformal","1   (Ineffective)"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"inpformal","4  (Very Effective)"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"inpformal","4  (Very Effective)"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"inpformal","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"inpformal","3"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"inpformal","4  (Very Effective)"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"inpformal","1   (Ineffective)"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"inpformal","2"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"inpformal","3"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"inpformal","1   (Ineffective)"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"inpformal","3"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"inpformal","4  (Very Effective)"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"inpformal","4  (Very Effective)"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"inpformal","3"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"inpformal","3"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"inpformal","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"inpformal","4  (Very Effective)"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"inpformal","4  (Very Effective)"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"inpformal","2"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"inpformal","3"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"inpformal","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"inpformal","4  (Very Effective)"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"inpformal","3"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"inpformal","3"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"inpformal","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"inpformal","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"inpformal","3"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"inpformal","3"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"inpformal","4  (Very Effective)"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"inpformal","4  (Very Effective)"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"inpformal","2"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"inpformal","3"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"inpformal","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"inpformal","4  (Very Effective)"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"inpformal","3"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"inpformal","4  (Very Effective)"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"inpformal","3"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"inpformal","3"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"inpformal","4  (Very Effective)"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"inpformal","4  (Very Effective)"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"inpformal","4  (Very Effective)"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"inpformal","3"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"inpformal","3"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"inpformal","3"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"inpformal","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"inpformal","2"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"inpformal","1   (Ineffective)"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"inpformal","3"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"inpformal","3"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"inpformal","3"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"inpformal","4  (Very Effective)"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"inpformal","3"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"inpformal","4  (Very Effective)"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"inpformal","3"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"inpformal","4  (Very Effective)"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"inpformal","4  (Very Effective)"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"inpformal","2"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"inpformal","3"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"inpformal","3"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"inpformal","3"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"inpformal","3"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"inpformal","3"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"inpformal","3"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"inpformal","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"inpformal","2"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"inpformal","4  (Very Effective)"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"inpformal","3"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"inproutine","4  (Very Effective)"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"inproutine","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"inproutine","3"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"inproutine","3"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"inproutine","4  (Very Effective)"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"inproutine","3"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"inproutine",""
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"inproutine","2"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"inproutine","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"inproutine","2"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"inproutine","3"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"inproutine","3"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"inproutine","3"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"inproutine","3"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"inproutine","3"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"inproutine","2"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"inproutine","2"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"inproutine","2"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"inproutine","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"inproutine","4  (Very Effective)"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"inproutine","4  (Very Effective)"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"inproutine","3"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"inproutine","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"inproutine","3"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"inproutine","4  (Very Effective)"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"inproutine","3"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"inproutine","2"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"inproutine","4  (Very Effective)"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"inproutine","2"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"inproutine","2"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"inproutine","1   (Ineffective)"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"inproutine","2"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"inproutine","3"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"inproutine","2"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"inproutine","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"inproutine","3"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"inproutine","4  (Very Effective)"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"inproutine","4  (Very Effective)"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"inproutine","3"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"inproutine","2"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"inproutine","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"inproutine","1   (Ineffective)"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"inproutine","3"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"inproutine","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"inproutine","3"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"inproutine","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"inproutine","2"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"inproutine","4  (Very Effective)"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"inproutine","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"inproutine","4  (Very Effective)"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"inproutine","4  (Very Effective)"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"inproutine","2"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"inproutine","1   (Ineffective)"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"inproutine","2"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"inproutine","2"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"inproutine","3"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"inproutine","3"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"inproutine","3"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"inproutine","4  (Very Effective)"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"inproutine","3"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"inproutine","3"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"inproutine","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"inproutine","3"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"inproutine","2"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"inproutine","3"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"inproutine","4  (Very Effective)"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"inproutine","4  (Very Effective)"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"inproutine","3"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"inproutine","3"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"inproutine","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"inproutine","3"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"inproutine","3"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"inproutine","3"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"inproutine","4  (Very Effective)"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"inproutine","2"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"inproutine","2"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"inproutine","2"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"inproutine","4  (Very Effective)"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"inproutine","3"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"inproutine","2"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"inproutine","4  (Very Effective)"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"inproutine","3"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"inproutine","3"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"inproutine","4  (Very Effective)"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"inproutine","4  (Very Effective)"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"inproutine","4  (Very Effective)"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"inproutine","3"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"inproutine","4  (Very Effective)"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"inproutine","3"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"inproutine","3"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"inproutine","4  (Very Effective)"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"inproutine","2"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"inproutine","3"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"inproutine","1   (Ineffective)"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"inproutine","3"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"inproutine","4  (Very Effective)"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"inproutine","3"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"inproutine","3"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"inproutine","3"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"inproutine","4  (Very Effective)"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"inproutine","4  (Very Effective)"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"inproutine","2"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"inproutine","1   (Ineffective)"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"inproutine","3"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"inproutine","2"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"inproutine","3"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"inproutine","3"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"inproutine","3"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"inproutine","3"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"inproutine","3"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"inproutine","4  (Very Effective)"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"inproutine","3"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"inpunscheduled","4  (Very Effective)"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"inpunscheduled","3"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"inpunscheduled","4  (Very Effective)"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"inpunscheduled","2"
